iter	Passed	Remaining
408	6609	1470
409	6631	1455
410	6648	1439
411	6688	1428
412	6709	1413
413	6732	1398
414	6748	1382
415	6764	1365
416	6775	1348
417	6787	1331
418	6795	1313
419	6806	1296
420	6828	1281
421	6836	1263
422	6862	1249
423	6877	1232
424	6900	1217
425	6908	1200
426	6927	1184
427	6933	1166
428	6940	1148
429	6948	1131
430	6953	1113
431	6962	1095
432	6967	1078
433	6978	1061
434	6984	1043
435	7002	1027
436	7017	1011
437	7036	995
438	7057	980
439	7063	963
440	7070	945
441	7077	928
442	7083	911
443	7090	894
444	7096	877
445	7103	860
446	7109	842
447	7115	825
448	7122	809
449	7128	792
450	7135	775
451	7141	758
452	7148	741
453	7154	724
454	7159	708
455	7166	691
456	7172	674
457	7179	658
458	7185	641
459	7192	625
460	7198	608
461	7204	592
462	7211	576
463	7217	559
464	7254	546
465	7276	530
466	7298	515
467	7321	500
468	7352	485
469	7369	470
470	7385	454
471	7403	439
472	7423	423
473	7438	408
474	7446	391
475	7461	376
476	7477	360
477	7490	344
478	7498	328
479	7508	312
480	7523	297
481	7534	281
482	7543	265
483	7554	249
484	7560	233
485	7569	218
486	7586	202
487	7608	187
488	7641	171
489	7663	156
490	7692	141
491	7718	125
492	7748	110
493	7762	94
494	7771	78
495	7795	62
496	7807	47
497	7829	31
498	7847	15
499	7864	0
